danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.192	0.176	11	-14.763	1	0.0371	0.905	0.0679	0.0753	0.062	84.14	audio_features	48IEabeEcOSPrU8yIZ1lpd	spotify:track:48IEabeEcOSPrU8yIZ1lpd	https://api.spotify.com/v1/tracks/48IEabeEcOSPrU8yIZ1lpd	https://api.spotify.com/v1/audio-analysis/48IEabeEcOSPrU8yIZ1lpd	334907	4
0.553	0.85	9	-3.467	1	0.044	0.0255	0.0	0.204	0.737	138.073	audio_features	5WSk6GHcC8Tp2pEs32V0me	spotify:track:5WSk6GHcC8Tp2pEs32V0me	https://api.spotify.com/v1/tracks/5WSk6GHcC8Tp2pEs32V0me	https://api.spotify.com/v1/audio-analysis/5WSk6GHcC8Tp2pEs32V0me	230652	4
0.704	0.98	10	-5.995	0	0.0363	3.62e-05	0.873	0.0754	0.558	138.017	audio_features	0CyZ6SKLr8EE8QlRqp2RQu	spotify:track:0CyZ6SKLr8EE8QlRqp2RQu	https://api.spotify.com/v1/tracks/0CyZ6SKLr8EE8QlRqp2RQu	https://api.spotify.com/v1/audio-analysis/0CyZ6SKLr8EE8QlRqp2RQu	339613	4
0.61	0.509	1	-8.63	1	0.027	0.0536	0.0	0.0754	0.224	129.943	audio_features	2blM0SIqgptXPpCan2lGXh	spotify:track:2blM0SIqgptXPpCan2lGXh	https://api.spotify.com/v1/tracks/2blM0SIqgptXPpCan2lGXh	https://api.spotify.com/v1/audio-analysis/2blM0SIqgptXPpCan2lGXh	243573	4
0.731	0.75	2	-10.457	1	0.0321	0.0862	0.000388	0.202	0.639	135.406	audio_features	6fBwVe6udYdnRqwqo06if8	spotify:track:6fBwVe6udYdnRqwqo06if8	https://api.spotify.com/v1/tracks/6fBwVe6udYdnRqwqo06if8	https://api.spotify.com/v1/audio-analysis/6fBwVe6udYdnRqwqo06if8	178987	4
0.354	0.468	9	-3.85	0	0.029	0.852	2.79e-05	0.149	0.0602	92.61	audio_features	7tKmR4EVJVI23OMi5GI3lN	spotify:track:7tKmR4EVJVI23OMi5GI3lN	https://api.spotify.com/v1/tracks/7tKmR4EVJVI23OMi5GI3lN	https://api.spotify.com/v1/audio-analysis/7tKmR4EVJVI23OMi5GI3lN	237268	4
0.323	0.519	2	-5.475	0	0.0362	0.00724	0.000451	0.0978	0.0396	169.961	audio_features	5v1IehX97dH1LeqbEoZsDq	spotify:track:5v1IehX97dH1LeqbEoZsDq	https://api.spotify.com/v1/tracks/5v1IehX97dH1LeqbEoZsDq	https://api.spotify.com/v1/audio-analysis/5v1IehX97dH1LeqbEoZsDq	153907	4
0.527	0.722	10	-11.955	0	0.0371	0.0791	0.28	0.356	0.409	140.012	audio_features	2N9W6SskFeRAggr4bFSard	spotify:track:2N9W6SskFeRAggr4bFSard	https://api.spotify.com/v1/tracks/2N9W6SskFeRAggr4bFSard	https://api.spotify.com/v1/audio-analysis/2N9W6SskFeRAggr4bFSard	314493	3
0.319	0.0567	0	-29.927	1	0.0347	0.758	0.862	0.103	0.0317	122.817	audio_features	0OvmYdZ4MxfspgkducydcV	spotify:track:0OvmYdZ4MxfspgkducydcV	https://api.spotify.com/v1/tracks/0OvmYdZ4MxfspgkducydcV	https://api.spotify.com/v1/audio-analysis/0OvmYdZ4MxfspgkducydcV	557000	4
0.739	0.352	4	-14.29	0	0.276	0.279	2.43e-06	0.0633	0.157	79.466	audio_features	1HEK0M5263Yn7WlNlj49ox	spotify:track:1HEK0M5263Yn7WlNlj49ox	https://api.spotify.com/v1/tracks/1HEK0M5263Yn7WlNlj49ox	https://api.spotify.com/v1/audio-analysis/1HEK0M5263Yn7WlNlj49ox	163027	4
